Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Tua Tagovailoa,25,MIA,QB,17,17,11-6-0,388,560,69.3,4624,29,5.2,14,2.5,222,50.8,78,8.3,8.17,11.9,272.0,101.1,60.8,29,171,4.92,7.56,7.48,2,2,PBAP CPoY-5,TagoTu00
2,Jared Goff,29,DET,QB,17,17,12-5-0,407,605,67.3,4575,30,5.0,12,2.0,227,50.9,70,7.6,7.66,11.2,269.1,97.9,60.3,30,197,4.72,6.89,6.99,2,3,,GoffJa00
3,Dak Prescott,30,DAL,QB,17,17,12-5-0,410,590,69.5,4516,36,6.1,9,1.5,222,51.5,92,7.7,8.19,11.0,265.6,105.9,72.7,39,255,6.20,6.77,7.28,2,3,PBAP-2AP MVP-2AP OPoY-5,PresDa01
4,Josh Allen,27,BUF,QB,17,17,11-6-0,385,579,66.5,4306,29,5.0,18,3.1,199,50.7,81,7.4,7.04,11.2,253.3,92.2,69.6,24,152,3.98,6.89,6.51,2,4,AP MVP-5AP OPoY-6,AlleJo02
5,Brock Purdy,24,SFO,QB,16,16,12-4-0,308,444,69.4,4280,31,7.0,11,2.5,192,54.7,76,9.6,9.92,13.9,267.5,113.0,72.8,28,153,5.93,8.74,9.01,0,0,PBAP MVP-4AP OPoY-6AP CPoY-6,PurdBr00
6,Patrick Mahomes,28,KAN,QB,16,16,10-6-0,401,597,67.2,4183,27,4.5,14,2.3,206,48.2,67,7.0,6.86,10.4,261.4,92.6,63.1,27,186,4.33,6.41,6.26,1,2,PBAP MVP-7,MahoPa00
7,Jordan Love,25,GNB,QB,17,17,9-8-0,372,579,64.2,4159,32,5.5,11,1.9,209,47.6,77,7.2,7.43,11.2,244.6,96.1,62.1,30,242,4.93,6.43,6.67,2,3,,LoveJo03
8,C.J. Stroud,22,HOU,QB,15,15,9-6-0,319,499,63.9,4108,23,4.6,5,1.0,188,46.7,75,8.2,8.70,12.9,273.9,100.8,57.5,38,331,7.08,7.03,7.47,1,3,PBAP MVP-8AP ORoY-1,StroCJ00
9,Baker Mayfield,28,TAM,QB,17,17,9-8-0,364,566,64.3,4044,28,4.9,10,1.8,188,44.7,75,7.1,7.34,11.1,237.9,94.6,54.3,40,232,6.60,6.29,6.47,1,2,PBAP CPoY-3,MayfBa00
10,Trevor Lawrence,24,JAX,QB,16,16,8-8-0,370,564,65.6,4016,21,3.7,14,2.5,179,46.4,65,7.1,6.75,10.9,251.0,88.5,56.1,35,224,5.84,6.33,5.98,1,2,,LawrTr00
11,Matthew Stafford,35,LAR,QB,15,15,9-6-0,326,521,62.6,3965,24,4.6,11,2.1,187,47.5,80,7.6,7.58,12.2,264.3,92.5,63.5,30,205,5.44,6.82,6.80,1,2,PBAP MVP-8AP CPoY-4,StafMa00
